,EdgesPerVertex,Jnnz|000214762,Jnnz|000706522,Jnnz|002179554,Jnnz|006749240,Jnnz|020207437,Jnnz|060724113,NUMTAB,SCALE,d4mJaccard,d4mJaccardTotal,d4mScan,d4mWrite,engine,graphuloJaccard,jaccardNumpp,numEntriesAfterCompact,numEntriesRightAfter,numpp,splitCompact,tAssoc,tCompactAdjUU,tCompactAdjUUDeg,tComputeAdjUUDeg,tFile,tInsertAdjUU,tname
DH_jaccard__DH_pg10_20160331__nt1__graphulo|20160417-170558,,,,,,,,1,10,,,,,graphulo,3.328,,214762,1011708,1011708,0.81066,,,,,,,DH_pg10_20160331
DH_jaccard__DH_pg11_20160331__nt1__graphulo|20160417-170624,,,,,,,,1,11,,,,,graphulo,10.5175,,706522,1323119,3103514,0.81954,,,,,,,DH_pg11_20160331
DH_jaccard__DH_pg12_20160331__nt1__graphulo|20160417-170725,,,,,,,,1,12,,,,,graphulo,31.9765,,2179554,5242356,9293469,0.82938,,,,,,,DH_pg12_20160331
DH_jaccard__DH_pg13_20160331__nt1__graphulo|20160417-174515,,,,,,,,1,13,,,,,graphulo,86.6213,,6749240,13680551,27148963,1.0748,,,,,,,DH_pg13_20160331
DH_jaccard__DH_pg14_20160331__nt1__graphulo|20160417-190515,,,,,,,,1,14,,,,,graphulo,236.6143,,20207437,40891435,77718934,1.5833,,,,,,,DH_pg14_20160331
DH_jaccard__DH_pg15_20160331__nt1__graphulo|20160417-202940,,,,,,,,1,15,,,,,graphulo,698.9501,,60724113,119162162,221956191,1.9107,,,,,,,DH_pg15_20160331
DH_jaccard__DH_pg16_20160331__nt1__graphulo|20160417-210456,,,,,,,,1,16,,,,,graphulo,2374.3666,,176702345,290694580,619875458,3.9456,,,,,,,DH_pg16_20160331
DH_jaccard_d4m__DH_pg10_20160331__nt1__d4m|20160417-170609,,214762,,,,,,1,10,0.40482,3.2778,0.3097,2.5632,d4m,,,214762,214762,,0.78106,,,,,,,DH_pg10_20160331
DH_jaccard_d4m__DH_pg11_20160331__nt1__d4m|20160417-170643,,,706522,,,,,1,11,1.3415,10.6318,0.39269,8.8976,d4m,,,706522,706522,,0.83738,,,,,,,DH_pg11_20160331
DH_jaccard_d4m__DH_pg12_20160331__nt1__d4m|20160417-170819,,,,2179554,,,,1,12,4.0931,32.6874,0.93292,27.6614,d4m,,,2179554,2179554,,0.86284,,,,,,,DH_pg12_20160331
DH_jaccard_d4m__DH_pg13_20160331__nt1__d4m|20160417-174723,,,,,6749240,,,1,13,12.6063,100.8569,1.949,86.3016,d4m,,,6749240,6749240,,0.87662,,,,,,,DH_pg13_20160331
DH_jaccard_d4m__DH_pg14_20160331__nt1__d4m|20160417-175522,,,,,,20207437,,1,14,65.1743,323.2026,3.6647,254.3637,d4m,,,20207437,20209371,,1.3593,,,,,,,DH_pg14_20160331
DH_jaccard_d4m__DH_pg15_20160331__nt1__d4m|20160417-204704,,,,,,,60724113,1,15,173.6259,944.2111,7.4567,763.1285,d4m,,,60724113,60726051,,1.9111,,,,,,,DH_pg15_20160331
DH_pg10_20160331,16,,,,,,,,10,,,,,,,1011708,,,,,0.037843,1.1218,0.62582,1.8176,0.004096,0.063411,
DH_pg11_20160331,16,,,,,,,,11,,,,,,,3103514,,,,,0.046104,0.74181,0.62836,0.33721,,0.12443,
DH_pg12_20160331,16,,,,,,,,12,,,,,,,9293469,,,,,0.088268,0.78756,0.6244,0.48114,,,
DH_pg13_20160331,16,,,,,,,,13,,,,,,,27148963,,,,,0.1591,1.0091,1.1517,0.63491,0.017617,,
DH_pg14_20160331,16,,,,,,,,14,,,,,,,77718934,,,,,0.33211,1.8886,1.6516,1.0304,0.035032,,
DH_pg15_20160331,16,,,,,,,,15,,,,,,,221956191,,,,,0.67369,3.8856,2.2159,1.7401,0.07212,,
DH_pg16_20160331,16,,,,,,,,16,,,,,,,619875458,,,,,1.4149,4.9935,3.7673,2.9251,0.1405,,
DH_pg17_20160331,16,,,,,,,,17,,,,,,,,,,,,2.9131,9.5423,5.7456,5.4196,0.29466,,
DH_pg18_20160331,16,,,,,,,,18,,,,,,,,,,,,6.3669,14.4378,11.4002,10.6087,0.66182,,
